Year,Africa,Asia,Europe,North_America,Oceania,South_America,Atlantic,Pacific,global,northern_hemisphere,southern_hemisphere
2000,0.55,0.89,0.94,0.52,0.33,0.67,0.28,0.01,0.46,0.54,0.67
2001,0.84,0.88,1.5,1.22,0.33,1.24,0.41,0.28,0.61,0.72,1.24
2002,1.18,0.61,1.42,0.3,0.43,1.27,0.43,0.35,0.57,0.59,1.27
2003,0.68,0.93,2.27,1.34,0.75,0.35,0.95,0.53,0.66,0.86,0.35
2004,1.1,0.34,1.19,-0.32,0.15,0.72,0.83,0.5,0.52,0.59,0.72
2005,1.13,0.7,0.54,0.61,0.61,1.11,0.78,-0.16,0.63,0.74,1.11
2006,1.02,0.81,1.11,0.75,1.01,1.05,0.84,0.75,0.66,0.77,1.05
2007,0.71,1.37,1.27,0.8,0.91,-0.14,0.4,-0.13,0.56,0.74,-0.14
2008,0.95,0.77,1.09,0.52,-0.4,1.07,0.74,0.39,0.57,0.67,1.07
2009,1.09,0.68,1.23,0.24,2.27,1.31,0.71,0.92,0.72,0.76,1.31
2010,1.08,1.25,1.71,1.32,0.38,0.42,0.94,-0.37,0.7,0.92,0.42
2011,0.86,0.92,1.21,1.4,1.04,0.84,0.69,0.09,0.65,0.77,0.84
2012,0.9,0.85,1.6,1.35,0.45,1.06,0.92,0.63,0.71,0.83,1.06
2013,0.52,0.97,1.48,0.99,1.59,0.3,0.84,0.3,0.69,0.82,0.3
2014,1.05,1.03,1.2,0.85,0.36,1.46,0.74,0.86,0.82,1.01,1.46
2015,1.63,0.89,1.89,0.82,0.84,1.98,1.08,1.72,0.91,1.09,1.98
2016,1.31,1.54,1.41,1.3,0.83,1.59,0.91,0.85,0.98,1.16,1.59
2017,1.24,1.24,1.83,0.76,1.19,1.72,0.81,0.8,0.92,1.11,1.72
2018,1.14,1.11,2.5,0.83,0.24,0.66,0.43,0.72,0.8,0.95,0.66
2019,1.44,0.97,1.9,0.81,0.32,0.96,0.87,0.57,0.92,1.14,0.96
